id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team.id,home_team.abbreviation,home_team.city,home_team.conference,home_team.division,home_team.full_name,home_team.name,visitor_team.id,visitor_team.abbreviation,visitor_team.city,visitor_team.conference,visitor_team.division,visitor_team.full_name,visitor_team.name
62585,2019-10-22T00:00:00.000Z,112,4,False,2019,Final,     ,102,13,LAC,LA,West,Pacific,LA Clippers,Clippers,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
62594,2019-10-23T00:00:00.000Z,100,4,False,2019,Final,     ,108,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
62597,2019-10-24T00:00:00.000Z,100,4,False,2019,Final,     ,117,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
62596,2019-10-23T00:00:00.000Z,100,4,False,2019,Final,     ,95,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
62586,2019-10-23T00:00:00.000Z,126,4,False,2019,Final,     ,125,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
62599,2019-10-24T00:00:00.000Z,122,4,False,2019,Final,     ,141,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,13,LAC,LA,West,Pacific,LA Clippers,Clippers
62588,2019-10-23T00:00:00.000Z,94,4,False,2019,Final,     ,85,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
62592,2019-10-23T00:00:00.000Z,108,4,False,2019,Final,     ,100,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
62595,2019-10-23T00:00:00.000Z,124,4,False,2019,Final,     ,95,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
62598,2019-10-24T00:00:00.000Z,111,4,False,2019,Final,     ,117,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
62602,2019-10-25T00:00:00.000Z,113,4,False,2019,Final,     ,109,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
62600,2019-10-25T00:00:00.000Z,112,4,False,2019,Final,     ,106,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
62610,2019-10-26T00:00:00.000Z,111,4,False,2019,Final,     ,117,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
62601,2019-10-25T00:00:00.000Z,99,4,False,2019,Final,     ,121,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
62605,2019-10-25T00:00:00.000Z,116,4,False,2019,Final,     ,123,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
62611,2019-10-26T00:00:00.000Z,103,4,False,2019,Final,     ,99,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
62606,2019-10-25T00:00:00.000Z,108,5,False,2019,Final,     ,107,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
62603,2019-10-25T00:00:00.000Z,102,4,False,2019,Final,     ,110,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
62609,2019-10-26T00:00:00.000Z,126,5,False,2019,Final,     ,131,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,16,MIA,Miami,East,Southeast,Miami Heat,Heat
62612,2019-10-26T00:00:00.000Z,95,4,False,2019,Final,     ,118,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
62614,2019-10-26T00:00:00.000Z,84,4,False,2019,Final,     ,108,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
