id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team.id,home_team.abbreviation,home_team.city,home_team.conference,home_team.division,home_team.full_name,home_team.name,visitor_team.id,visitor_team.abbreviation,visitor_team.city,visitor_team.conference,visitor_team.division,visitor_team.full_name,visitor_team.name
127502,2020-12-22T00:00:00.000Z,125,4,False,2020,Final,,99,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
127503,2020-12-22T00:00:00.000Z,109,4,False,2020,Final,,116,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,13,LAC,LA,West,Pacific,LA Clippers,Clippers
127519,2020-12-25T00:00:00.000Z,111,4,False,2020,Final,,98,16,MIA,Miami,East,Southeast,Miami Heat,Heat,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
127526,2020-12-26T00:00:00.000Z,120,4,False,2020,Final,,130,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
127504,2020-12-23T00:00:00.000Z,121,4,False,2020,Final,,114,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
127512,2020-12-23T00:00:00.000Z,111,4,False,2020,Final,,101,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
127521,2020-12-25T00:00:00.000Z,138,4,False,2020,Final,,99,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
127505,2020-12-23T00:00:00.000Z,121,4,False,2020,Final,,107,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
127506,2020-12-23T00:00:00.000Z,113,4,False,2020,Final,,107,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic,16,MIA,Miami,East,Southeast,Miami Heat,Heat
127514,2020-12-23T00:00:00.000Z,122,5,False,2020,Final,,124,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
127515,2020-12-23T00:00:00.000Z,100,4,False,2020,Final,,120,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
127507,2020-12-23T00:00:00.000Z,113,4,False,2020,Final,,107,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
127517,2020-12-25T00:00:00.000Z,95,4,False,2020,Final,,123,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
