id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team.id,home_team.abbreviation,home_team.city,home_team.conference,home_team.division,home_team.full_name,home_team.name,visitor_team.id,visitor_team.abbreviation,visitor_team.city,visitor_team.conference,visitor_team.division,visitor_team.full_name,visitor_team.name
9572,1999-02-27T00:00:00.000Z,92,4,False,1998,Final, ,101,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
9573,1999-02-28T00:00:00.000Z,88,4,False,1998,Final, ,88,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
9574,1999-03-01T00:00:00.000Z,102,4,False,1998,Final, ,105,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
9575,1999-03-02T00:00:00.000Z,85,4,False,1998,Final, ,84,16,MIA,Miami,East,Southeast,Miami Heat,Heat,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
9576,1999-03-03T00:00:00.000Z,95,4,False,1998,Final, ,106,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
9577,1999-03-04T00:00:00.000Z,82,4,False,1998,Final, ,96,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
9578,1999-03-05T00:00:00.000Z,102,4,False,1998,Final, ,94,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
9579,1999-03-07T00:00:00.000Z,66,4,False,1998,Final, ,88,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
9580,1999-03-08T00:00:00.000Z,73,4,False,1998,Final, ,92,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
9581,1999-03-09T00:00:00.000Z,105,4,False,1998,Final, ,87,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
9582,1999-03-09T00:00:00.000Z,103,4,False,1998,Final, ,98,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
9583,1999-03-10T00:00:00.000Z,85,4,False,1998,Final, ,70,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
9584,1999-03-11T00:00:00.000Z,99,4,False,1998,Final, ,85,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
9719,1999-03-10T00:00:00.000Z,97,4,False,1998,Final, ,87,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
9720,1999-03-11T00:00:00.000Z,83,4,False,1998,Final, ,73,16,MIA,Miami,East,Southeast,Miami Heat,Heat,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
9827,1999-03-12T00:00:00.000Z,89,4,False,1998,Final, ,78,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
9828,1999-03-13T00:00:00.000Z,74,4,False,1998,Final, ,87,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
9829,1999-03-14T00:00:00.000Z,99,4,False,1998,Final, ,96,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
9830,1999-03-15T00:00:00.000Z,74,4,False,1998,Final, ,73,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
9831,1999-03-16T00:00:00.000Z,113,4,False,1998,Final, ,89,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,13,LAC,LA,West,Pacific,LA Clippers,Clippers
9832,1999-03-16T00:00:00.000Z,87,4,False,1998,Final, ,82,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
9833,1999-03-17T00:00:00.000Z,114,4,False,1998,Final, ,110,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
9834,1999-03-18T00:00:00.000Z,104,4,False,1998,Final, ,95,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
9835,1999-03-19T00:00:00.000Z,105,4,False,1998,Final, ,90,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
9836,1999-03-20T00:00:00.000Z,77,4,False,1998,Final, ,83,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
9837,1999-03-21T00:00:00.000Z,104,4,False,1998,Final, ,101,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
9838,1999-03-22T00:00:00.000Z,110,4,False,1998,Final, ,100,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
9839,1999-03-23T00:00:00.000Z,90,4,False,1998,Final, ,113,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
9840,1999-03-24T00:00:00.000Z,110,4,False,1998,Final, ,81,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
9841,1999-03-26T00:00:00.000Z,90,4,False,1998,Final, ,85,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
9842,1999-03-26T00:00:00.000Z,80,4,False,1998,Final, ,85,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
9843,1999-03-27T00:00:00.000Z,99,4,False,1998,Final, ,109,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
9844,1999-03-28T00:00:00.000Z,85,4,False,1998,Final, ,94,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
9845,1999-03-30T00:00:00.000Z,107,4,False,1998,Final, ,105,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
9846,1999-04-01T00:00:00.000Z,103,4,False,1998,Final, ,91,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
9847,1999-04-02T00:00:00.000Z,81,4,False,1998,Final, ,87,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
9848,1999-04-03T00:00:00.000Z,98,4,False,1998,Final, ,93,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
9849,1999-04-04T00:00:00.000Z,85,4,False,1998,Final, ,83,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
9850,1999-04-05T00:00:00.000Z,100,4,False,1998,Final, ,93,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
9851,1999-04-06T00:00:00.000Z,93,4,False,1998,Final, ,97,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
9852,1999-04-07T00:00:00.000Z,84,4,False,1998,Final, ,87,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
9853,1999-04-08T00:00:00.000Z,92,4,False,1998,Final, ,85,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
9854,1999-04-09T00:00:00.000Z,78,4,False,1998,Final, ,86,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
9855,1999-04-10T00:00:00.000Z,49,4,False,1998,Final, ,82,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,16,MIA,Miami,East,Southeast,Miami Heat,Heat
9856,1999-04-11T00:00:00.000Z,109,4,False,1998,Final, ,113,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
9857,1999-04-12T00:00:00.000Z,96,4,False,1998,Final, ,104,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
9858,1999-04-13T00:00:00.000Z,90,4,False,1998,Final, ,74,16,MIA,Miami,East,Southeast,Miami Heat,Heat,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
9859,1999-04-14T00:00:00.000Z,102,4,False,1998,Final, ,85,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
9860,1999-04-16T00:00:00.000Z,94,4,False,1998,Final, ,95,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
9861,1999-04-18T00:00:00.000Z,85,4,False,1998,Final, ,90,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
9862,1999-04-19T00:00:00.000Z,104,4,False,1998,Final, ,120,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
9863,1999-04-20T00:00:00.000Z,69,4,False,1998,Final, ,83,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
9864,1999-04-21T00:00:00.000Z,93,4,False,1998,Final, ,80,16,MIA,Miami,East,Southeast,Miami Heat,Heat,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
9865,1999-04-23T00:00:00.000Z,96,4,False,1998,Final, ,85,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
9866,1999-04-24T00:00:00.000Z,105,4,False,1998,Final, ,102,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
9867,1999-04-25T00:00:00.000Z,80,4,False,1998,Final, ,82,16,MIA,Miami,East,Southeast,Miami Heat,Heat,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
9868,1999-04-26T00:00:00.000Z,88,4,False,1998,Final, ,94,13,LAC,LA,West,Pacific,LA Clippers,Clippers,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
9869,1999-04-27T00:00:00.000Z,76,4,False,1998,Final, ,95,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,16,MIA,Miami,East,Southeast,Miami Heat,Heat
9870,1999-04-29T00:00:00.000Z,96,4,False,1998,Final, ,85,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
9871,1999-04-30T00:00:00.000Z,78,4,False,1998,Final, ,91,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
9872,1999-05-01T00:00:00.000Z,98,4,False,1998,Final, ,90,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
9873,1999-05-02T00:00:00.000Z,110,4,False,1998,Final, ,84,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,13,LAC,LA,West,Pacific,LA Clippers,Clippers
9874,1999-05-03T00:00:00.000Z,95,4,False,1998,Final, ,88,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
9875,1999-05-04T00:00:00.000Z,99,4,False,1998,Final, ,82,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,13,LAC,LA,West,Pacific,LA Clippers,Clippers
