id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team.id,home_team.abbreviation,home_team.city,home_team.conference,home_team.division,home_team.full_name,home_team.name,visitor_team.id,visitor_team.abbreviation,visitor_team.city,visitor_team.conference,visitor_team.division,visitor_team.full_name,visitor_team.name
13358,2004-12-23T00:00:00.000Z,96,4,False,2004,Final, ,82,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
13359,2004-12-25T00:00:00.000Z,102,4,False,2004,Final, ,104,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,16,MIA,Miami,East,Southeast,Miami Heat,Heat
13360,2004-12-26T00:00:00.000Z,109,4,False,2004,Final, ,74,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
13361,2004-12-27T00:00:00.000Z,100,4,False,2004,Final, ,90,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
13362,2004-12-29T00:00:00.000Z,105,4,False,2004,Final, ,111,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
13363,2004-12-30T00:00:00.000Z,78,4,False,2004,Final, ,89,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,16,MIA,Miami,East,Southeast,Miami Heat,Heat
13364,2004-12-31T00:00:00.000Z,97,4,False,2004,Final, ,103,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
13365,2005-01-01T00:00:00.000Z,113,4,False,2004,Final, ,90,16,MIA,Miami,East,Southeast,Miami Heat,Heat,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
13366,2005-01-02T00:00:00.000Z,117,4,False,2004,Final, ,98,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
13367,2005-01-03T00:00:00.000Z,83,4,False,2004,Final, ,94,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
13368,2005-01-04T00:00:00.000Z,98,4,False,2004,Final, ,105,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
13369,2005-01-05T00:00:00.000Z,101,4,False,2004,Final, ,85,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
13370,2005-01-05T00:00:00.000Z,99,4,False,2004,Final, ,106,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
13371,2005-01-07T00:00:00.000Z,104,4,False,2004,Final, ,110,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
13372,2005-01-08T00:00:00.000Z,121,4,False,2004,Final, ,117,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
13373,2005-01-11T00:00:00.000Z,85,4,False,2004,Final, ,86,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
13374,2005-01-12T00:00:00.000Z,114,4,False,2004,Final, ,124,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
13510,2004-12-23T00:00:00.000Z,109,4,False,2004,Final, ,102,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
13773,2004-12-25T00:00:00.000Z,93,4,False,2004,Final, ,98,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
13774,2004-12-26T00:00:00.000Z,107,4,False,2004,Final, ,90,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
13775,2004-12-27T00:00:00.000Z,111,4,False,2004,Final, ,119,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
13776,2004-12-28T00:00:00.000Z,102,4,False,2004,Final, ,111,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
13777,2004-12-29T00:00:00.000Z,105,4,False,2004,Final, ,107,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
13778,2004-12-30T00:00:00.000Z,80,4,False,2004,Final, ,114,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
13779,2004-12-31T00:00:00.000Z,79,4,False,2004,Final, ,98,13,LAC,LA,West,Pacific,LA Clippers,Clippers,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
13780,2005-01-01T00:00:00.000Z,97,4,False,2004,Final, ,88,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
13781,2005-01-02T00:00:00.000Z,104,4,False,2004,Final, ,101,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
13782,2005-01-03T00:00:00.000Z,98,4,False,2004,Final, ,102,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,13,LAC,LA,West,Pacific,LA Clippers,Clippers
14046,2004-12-26T00:00:00.000Z,96,4,False,2004,Final, ,79,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,13,LAC,LA,West,Pacific,LA Clippers,Clippers
14047,2004-12-27T00:00:00.000Z,100,4,False,2004,Final, ,82,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
14048,2004-12-28T00:00:00.000Z,115,4,False,2004,Final, ,87,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
14049,2004-12-29T00:00:00.000Z,100,4,False,2004,Final, ,87,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
14050,2005-01-02T00:00:00.000Z,123,4,False,2004,Final, ,104,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
14051,2005-01-03T00:00:00.000Z,104,4,False,2004,Final, ,112,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
14052,2005-01-04T00:00:00.000Z,116,4,False,2004,Final, ,99,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
14053,2005-01-05T00:00:00.000Z,98,4,False,2004,Final, ,108,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
14054,2005-01-05T00:00:00.000Z,89,4,False,2004,Final, ,95,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
14190,2004-12-26T00:00:00.000Z,99,4,False,2004,Final, ,92,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
14436,2004-12-27T00:00:00.000Z,106,4,False,2004,Final, ,87,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
14437,2004-12-28T00:00:00.000Z,115,4,False,2004,Final, ,94,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
14438,2004-12-29T00:00:00.000Z,117,4,False,2004,Final, ,109,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
14439,2004-12-30T00:00:00.000Z,83,4,False,2004,Final, ,96,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
14440,2004-12-31T00:00:00.000Z,105,4,False,2004,Final, ,90,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
14441,2005-01-01T00:00:00.000Z,87,4,False,2004,Final, ,93,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
14442,2005-01-02T00:00:00.000Z,100,4,False,2004,Final, ,88,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
14443,2005-01-03T00:00:00.000Z,108,4,False,2004,Final, ,90,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
14444,2005-01-04T00:00:00.000Z,112,4,False,2004,Final, ,88,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
14445,2005-01-05T00:00:00.000Z,102,4,False,2004,Final, ,94,16,MIA,Miami,East,Southeast,Miami Heat,Heat,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
14446,2005-01-05T00:00:00.000Z,105,4,False,2004,Final, ,87,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
14447,2005-01-06T00:00:00.000Z,79,4,False,2004,Final, ,101,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
14448,2005-01-07T00:00:00.000Z,97,4,False,2004,Final, ,100,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
14449,2005-01-08T00:00:00.000Z,91,4,False,2004,Final, ,108,13,LAC,LA,West,Pacific,LA Clippers,Clippers,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
14450,2005-01-12T00:00:00.000Z,104,4,False,2004,Final, ,93,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
14451,2005-01-14T00:00:00.000Z,95,4,False,2004,Final, ,83,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
14452,2005-01-14T00:00:00.000Z,106,4,False,2004,Final, ,96,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
14453,2005-01-15T00:00:00.000Z,108,4,False,2004,Final, ,103,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
14454,2005-01-15T00:00:00.000Z,86,4,False,2004,Final, ,84,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
14455,2005-01-15T00:00:00.000Z,101,4,False,2004,Final, ,82,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
14456,2005-01-16T00:00:00.000Z,105,4,False,2004,Final, ,97,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
14457,2005-01-17T00:00:00.000Z,94,4,False,2004,Final, ,102,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
14458,2005-01-17T00:00:00.000Z,91,4,False,2004,Final, ,100,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
14459,2005-01-18T00:00:00.000Z,110,4,False,2004,Final, ,116,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
14460,2005-01-19T00:00:00.000Z,111,4,False,2004,Final, ,92,16,MIA,Miami,East,Southeast,Miami Heat,Heat,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
14461,2005-01-19T00:00:00.000Z,90,4,False,2004,Final, ,87,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
14462,2005-01-20T00:00:00.000Z,123,4,False,2004,Final, ,96,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
14583,2004-12-28T00:00:00.000Z,117,4,False,2004,Final, ,99,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
