id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team.id,home_team.abbreviation,home_team.city,home_team.conference,home_team.division,home_team.full_name,home_team.name,visitor_team.id,visitor_team.abbreviation,visitor_team.city,visitor_team.conference,visitor_team.division,visitor_team.full_name,visitor_team.name
9585,1999-11-02T00:00:00.000Z,94,4,False,1999,Final, ,87,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
9586,1999-11-02T00:00:00.000Z,86,4,False,1999,Final, ,106,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
9587,1999-11-03T00:00:00.000Z,112,4,False,1999,Final, ,101,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
9588,1999-11-04T00:00:00.000Z,84,4,False,1999,Final, ,80,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
9589,1999-11-05T00:00:00.000Z,99,4,False,1999,Final, ,104,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
9590,1999-11-06T00:00:00.000Z,97,4,False,1999,Final, ,120,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
9591,1999-11-07T00:00:00.000Z,77,4,False,1999,Final, ,74,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
9592,1999-11-08T00:00:00.000Z,111,4,False,1999,Final, ,101,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
9593,1999-11-09T00:00:00.000Z,89,4,False,1999,Final, ,118,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
9594,1999-11-10T00:00:00.000Z,89,4,False,1999,Final, ,104,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
