id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team.id,home_team.abbreviation,home_team.city,home_team.conference,home_team.division,home_team.full_name,home_team.name,visitor_team.id,visitor_team.abbreviation,visitor_team.city,visitor_team.conference,visitor_team.division,visitor_team.full_name,visitor_team.name
21121,2007-11-23T00:00:00.000Z,115,4,False,2007,Final, ,123,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
21122,2007-11-24T00:00:00.000Z,95,4,False,2007,Final, ,96,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
21123,2007-11-26T00:00:00.000Z,71,4,False,2007,Final, ,88,13,LAC,LA,West,Pacific,LA Clippers,Clippers,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
21124,2007-11-27T00:00:00.000Z,110,4,False,2007,Final, ,90,16,MIA,Miami,East,Southeast,Miami Heat,Heat,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
21125,2007-11-28T00:00:00.000Z,103,4,False,2007,Final, ,91,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
21126,2007-11-29T00:00:00.000Z,113,4,False,2007,Final, ,94,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
21127,2007-11-30T00:00:00.000Z,85,4,False,2007,Final, ,84,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
21128,2008-02-20T00:00:00.000Z,97,4,False,2007,Final, ,106,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
21129,2008-02-21T00:00:00.000Z,112,4,False,2007,Final, ,100,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,16,MIA,Miami,East,Southeast,Miami Heat,Heat
21130,2008-02-22T00:00:00.000Z,103,4,False,2007,Final, ,99,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
21131,2008-02-23T00:00:00.000Z,98,4,False,2007,Final, ,89,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
21132,2008-02-24T00:00:00.000Z,86,4,False,2007,Final, ,116,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
21133,2008-02-26T00:00:00.000Z,105,4,False,2007,Final, ,99,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
21134,2008-02-27T00:00:00.000Z,123,4,False,2007,Final, ,117,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
21135,2008-02-27T00:00:00.000Z,80,4,False,2007,Final, ,82,13,LAC,LA,West,Pacific,LA Clippers,Clippers,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
21136,2008-02-28T00:00:00.000Z,106,4,False,2007,Final, ,88,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,16,MIA,Miami,East,Southeast,Miami Heat,Heat
21137,2008-02-29T00:00:00.000Z,99,4,False,2007,Final, ,93,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
