id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team.id,home_team.abbreviation,home_team.city,home_team.conference,home_team.division,home_team.full_name,home_team.name,visitor_team.id,visitor_team.abbreviation,visitor_team.city,visitor_team.conference,visitor_team.division,visitor_team.full_name,visitor_team.name
12769,2003-12-05T00:00:00.000Z,94,4,False,2003,Final, ,101,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
12770,2003-12-06T00:00:00.000Z,110,4,False,2003,Final, ,97,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
12771,2003-12-07T00:00:00.000Z,94,4,False,2003,Final, ,96,13,LAC,LA,West,Pacific,LA Clippers,Clippers,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
12772,2003-12-09T00:00:00.000Z,76,4,False,2003,Final, ,78,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
12773,2003-12-10T00:00:00.000Z,103,4,False,2003,Final, ,90,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
12774,2003-12-11T00:00:00.000Z,101,4,False,2003,Final, ,111,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
12775,2003-12-12T00:00:00.000Z,93,4,False,2003,Final, ,110,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
12776,2003-12-12T00:00:00.000Z,77,4,False,2003,Final, ,86,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
12777,2003-12-13T00:00:00.000Z,86,4,False,2003,Final, ,73,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
12778,2003-12-16T00:00:00.000Z,116,4,False,2003,Final, ,94,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
12779,2003-12-17T00:00:00.000Z,87,4,False,2003,Final, ,74,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
12780,2003-12-19T00:00:00.000Z,105,4,False,2003,Final, ,99,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
12781,2003-12-20T00:00:00.000Z,106,4,False,2003,Final, ,115,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
12782,2003-12-21T00:00:00.000Z,117,4,False,2003,Final, ,98,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
12783,2003-12-22T00:00:00.000Z,106,4,False,2003,Final, ,99,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
12784,2003-12-23T00:00:00.000Z,111,4,False,2003,Final, ,90,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,13,LAC,LA,West,Pacific,LA Clippers,Clippers
12785,2003-12-26T00:00:00.000Z,95,4,False,2003,Final, ,94,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
12786,2003-12-29T00:00:00.000Z,86,4,False,2003,Final, ,114,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
12787,2003-12-30T00:00:00.000Z,89,4,False,2003,Final, ,92,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
12788,2003-12-31T00:00:00.000Z,94,4,False,2003,Final, ,96,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
12789,2004-01-02T00:00:00.000Z,93,4,False,2003,Final, ,75,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
12790,2004-01-02T00:00:00.000Z,97,4,False,2003,Final, ,82,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
12791,2004-01-03T00:00:00.000Z,99,4,False,2003,Final, ,93,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
12792,2004-01-04T00:00:00.000Z,85,4,False,2003,Final, ,95,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
12793,2004-01-05T00:00:00.000Z,68,4,False,2003,Final, ,78,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
12794,2004-01-06T00:00:00.000Z,92,4,False,2003,Final, ,75,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,13,LAC,LA,West,Pacific,LA Clippers,Clippers
12795,2004-01-07T00:00:00.000Z,105,4,False,2003,Final, ,99,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
12796,2004-01-07T00:00:00.000Z,100,4,False,2003,Final, ,80,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,13,LAC,LA,West,Pacific,LA Clippers,Clippers
12797,2004-01-09T00:00:00.000Z,78,4,False,2003,Final, ,87,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
12798,2004-01-09T00:00:00.000Z,97,4,False,2003,Final, ,79,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
12799,2004-01-10T00:00:00.000Z,89,4,False,2003,Final, ,88,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
12800,2004-01-13T00:00:00.000Z,89,4,False,2003,Final, ,94,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
12801,2004-01-14T00:00:00.000Z,120,4,False,2003,Final, ,110,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
12802,2004-01-15T00:00:00.000Z,108,4,False,2003,Final, ,93,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
12803,2004-01-16T00:00:00.000Z,104,4,False,2003,Final, ,93,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
12804,2004-01-17T00:00:00.000Z,99,4,False,2003,Final, ,84,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
12805,2004-01-17T00:00:00.000Z,96,4,False,2003,Final, ,102,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
12806,2004-01-19T00:00:00.000Z,90,4,False,2003,Final, ,79,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
12807,2004-02-20T00:00:00.000Z,93,4,False,2003,Final, ,94,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
12808,2004-02-21T00:00:00.000Z,97,4,False,2003,Final, ,81,16,MIA,Miami,East,Southeast,Miami Heat,Heat,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
12809,2004-02-22T00:00:00.000Z,94,4,False,2003,Final, ,80,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
12810,2004-02-24T00:00:00.000Z,91,4,False,2003,Final, ,94,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
12811,2004-02-25T00:00:00.000Z,113,4,False,2003,Final, ,95,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
12812,2004-02-27T00:00:00.000Z,89,4,False,2003,Final, ,77,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
12813,2004-02-28T00:00:00.000Z,117,4,False,2003,Final, ,92,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
