id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team.id,home_team.abbreviation,home_team.city,home_team.conference,home_team.division,home_team.full_name,home_team.name,visitor_team.id,visitor_team.abbreviation,visitor_team.city,visitor_team.conference,visitor_team.division,visitor_team.full_name,visitor_team.name
18200,2005-11-24T00:00:00.000Z,98,4,False,2005,Final, ,76,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
18201,2005-11-25T00:00:00.000Z,104,4,False,2005,Final, ,89,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
18202,2005-11-26T00:00:00.000Z,89,4,False,2005,Final, ,94,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
18203,2005-11-28T00:00:00.000Z,99,4,False,2005,Final, ,83,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
18204,2005-11-29T00:00:00.000Z,85,4,False,2005,Final, ,76,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
18205,2005-11-30T00:00:00.000Z,112,4,False,2005,Final, ,105,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,13,LAC,LA,West,Pacific,LA Clippers,Clippers
18206,2005-12-02T00:00:00.000Z,91,4,False,2005,Final, ,69,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
18207,2005-12-04T00:00:00.000Z,99,4,False,2005,Final, ,102,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
18208,2005-12-06T00:00:00.000Z,125,4,False,2005,Final, ,116,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
18209,2005-12-07T00:00:00.000Z,95,4,False,2005,Final, ,83,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
18210,2005-12-09T00:00:00.000Z,83,4,False,2005,Final, ,90,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
18211,2005-12-10T00:00:00.000Z,80,4,False,2005,Final, ,66,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
18212,2005-12-11T00:00:00.000Z,101,4,False,2005,Final, ,109,13,LAC,LA,West,Pacific,LA Clippers,Clippers,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
18213,2005-12-12T00:00:00.000Z,92,4,False,2005,Final, ,78,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
