id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team.id,home_team.abbreviation,home_team.city,home_team.conference,home_team.division,home_team.full_name,home_team.name,visitor_team.id,visitor_team.abbreviation,visitor_team.city,visitor_team.conference,visitor_team.division,visitor_team.full_name,visitor_team.name
18269,2006-11-09T00:00:00.000Z,113,4,False,2006,Final, ,94,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
18270,2006-11-10T00:00:00.000Z,102,4,False,2006,Final, ,111,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
18271,2006-11-11T00:00:00.000Z,96,4,False,2006,Final, ,87,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
18272,2006-11-12T00:00:00.000Z,101,4,False,2006,Final, ,108,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
18273,2006-11-13T00:00:00.000Z,89,4,False,2006,Final, ,92,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
18274,2006-11-14T00:00:00.000Z,105,4,False,2006,Final, ,112,16,MIA,Miami,East,Southeast,Miami Heat,Heat,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
18275,2006-11-15T00:00:00.000Z,100,4,False,2006,Final, ,87,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
18276,2006-11-17T00:00:00.000Z,76,4,False,2006,Final, ,100,16,MIA,Miami,East,Southeast,Miami Heat,Heat,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
18277,2006-11-18T00:00:00.000Z,117,4,False,2006,Final, ,109,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
18278,2006-11-20T00:00:00.000Z,98,4,False,2006,Final, ,107,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
18279,2006-11-21T00:00:00.000Z,87,4,False,2006,Final, ,97,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
18280,2006-11-22T00:00:00.000Z,107,4,False,2006,Final, ,89,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
18281,2006-11-24T00:00:00.000Z,140,4,False,2006,Final, ,129,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
18282,2006-11-25T00:00:00.000Z,108,4,False,2006,Final, ,95,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
18283,2006-11-26T00:00:00.000Z,101,4,False,2006,Final, ,119,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
18284,2006-11-27T00:00:00.000Z,93,4,False,2006,Final, ,87,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
18285,2006-11-28T00:00:00.000Z,96,4,False,2006,Final, ,95,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
18286,2006-11-29T00:00:00.000Z,106,4,False,2006,Final, ,108,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
18287,2006-12-01T00:00:00.000Z,109,4,False,2006,Final, ,90,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
18288,2006-12-02T00:00:00.000Z,109,4,False,2006,Final, ,107,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
18289,2006-12-03T00:00:00.000Z,96,4,False,2006,Final, ,107,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
18290,2006-12-04T00:00:00.000Z,129,4,False,2006,Final, ,89,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
18291,2006-12-05T00:00:00.000Z,102,4,False,2006,Final, ,87,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
18292,2006-12-06T00:00:00.000Z,94,4,False,2006,Final, ,80,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
