id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team.id,home_team.abbreviation,home_team.city,home_team.conference,home_team.division,home_team.full_name,home_team.name,visitor_team.id,visitor_team.abbreviation,visitor_team.city,visitor_team.conference,visitor_team.division,visitor_team.full_name,visitor_team.name
12633,2001-11-08T00:00:00.000Z,119,4,False,2001,Final, ,101,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,13,LAC,LA,West,Pacific,LA Clippers,Clippers
12634,2001-11-09T00:00:00.000Z,103,4,False,2001,Final, ,95,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
12635,2001-11-10T00:00:00.000Z,111,4,False,2001,Final, ,102,13,LAC,LA,West,Pacific,LA Clippers,Clippers,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
12704,2001-11-09T00:00:00.000Z,100,4,False,2001,Final, ,109,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
12705,2001-11-10T00:00:00.000Z,85,4,False,2001,Final, ,89,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
12706,2001-11-13T00:00:00.000Z,90,4,False,2001,Final, ,86,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
12707,2001-11-14T00:00:00.000Z,98,4,False,2001,Final, ,107,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
12708,2001-11-16T00:00:00.000Z,105,4,False,2001,Final, ,91,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
12709,2001-11-17T00:00:00.000Z,103,4,False,2001,Final, ,95,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
12710,2001-11-21T00:00:00.000Z,96,4,False,2001,Final, ,72,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
12711,2001-11-23T00:00:00.000Z,106,4,False,2001,Final, ,101,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,13,LAC,LA,West,Pacific,LA Clippers,Clippers
12712,2001-11-24T00:00:00.000Z,78,4,False,2001,Final, ,71,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
12713,2001-11-25T00:00:00.000Z,90,4,False,2001,Final, ,83,13,LAC,LA,West,Pacific,LA Clippers,Clippers,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
12714,2001-11-27T00:00:00.000Z,116,4,False,2001,Final, ,106,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
12715,2001-11-28T00:00:00.000Z,87,4,False,2001,Final, ,94,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
12716,2001-11-29T00:00:00.000Z,91,4,False,2001,Final, ,88,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
12717,2001-11-30T00:00:00.000Z,106,4,False,2001,Final, ,109,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
12718,2001-12-01T00:00:00.000Z,97,4,False,2001,Final, ,100,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
