id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team.id,home_team.abbreviation,home_team.city,home_team.conference,home_team.division,home_team.full_name,home_team.name,visitor_team.id,visitor_team.abbreviation,visitor_team.city,visitor_team.conference,visitor_team.division,visitor_team.full_name,visitor_team.name
455103,2021-08-10T00:00:00.000Z,111,0,False,2021,Final,,91,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
450930,2021-08-06T00:00:00.000Z,82,4,False,2021,Final,,77,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
455104,2021-08-10T00:00:00.000Z,75,0,False,2021,Final,,89,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
455105,2021-08-10T00:00:00.000Z,86,0,False,2021,Final,,66,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,13,LAC,LA,West,Pacific,LA Clippers,Clippers
455106,2021-08-10T00:00:00.000Z,82,0,False,2021,Final,,107,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
455107,2021-08-10T00:00:00.000Z,83,0,False,2021,Final,,84,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
457259,2021-08-11T00:00:00.000Z,97,4,False,2021,Final,,91,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
457260,2021-08-11T00:00:00.000Z,80,6,False,2021,Final,,81,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
457265,2021-08-11T00:00:00.000Z,82,4,False,2021,Final,,91,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
457261,2021-08-11T00:00:00.000Z,80,4,False,2021,Final,,65,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
448625,2021-08-03T00:00:00.000Z,80,4,False,2021,Final,,78,16,MIA,Miami,East,Southeast,Miami Heat,Heat,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
457262,2021-08-11T00:00:00.000Z,84,4,False,2021,Final,,94,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
